,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
30,,24,三重県,206,23.17964,23.17964,9,24,29,39,36,20,29,20,0,121,85,0,15,82,103,12,91,0,5,37,49,6,104,2,20,13,8,59,0,146,5,15,9,6,25,0,19,10,10,16,27,27,21,15,23,18,8,10,2,37,37,26,27,27,31,21,0,14,61,18,8,2,1,9,98,27,133,46,2020,0
31,,25,滋賀県,145,20.65298,20.65298,7,17,19,27,33,10,15,17,0,103,42,0,9,52,83,8,75,0,5,33,37,1,82,7,9,11,6,30,0,104,2,8,8,6,17,0,10,5,16,7,7,9,13,11,16,10,6,8,27,15,26,19,26,23,22,14,0,27,79,30,17,11,2,15,25,24,99,22,2020,0
32,,26,京都府,229,18.76808,18.76808,11,29,26,35,40,29,38,20,1,126,102,1,25,82,120,16,104,0,7,61,36,2,125,15,11,10,13,55,0,165,2,13,20,8,21,0,19,16,6,13,9,17,13,9,8,10,8,3,98,26,43,26,36,36,28,17,17,38,73,42,26,8,8,8,90,21,148,60,2020,0
33,,27,大阪府,903,21.15086,21.15086,33,102,122,143,150,136,137,80,0,495,406,2,59,285,557,45,512,0,33,303,176,2,466,140,44,43,23,187,0,577,10,50,161,23,82,0,96,84,67,65,62,73,53,50,35,52,31,34,201,133,146,130,138,111,116,111,18,189,588,253,112,39,19,67,36,153,632,118,2020,0
34,,28,兵庫県,589,22.14072,22.14072,24,64,78,98,81,75,91,78,0,388,199,2,40,212,330,30,300,0,24,172,104,7,328,61,29,29,17,125,0,406,6,30,87,16,44,0,85,33,57,73,47,36,59,36,42,44,48,27,2,85,105,89,70,90,79,71,0,94,385,140,89,15,12,35,29,93,438,58,2020,0
35,,29,奈良県,126,19.60068,19.60068,3,15,16,25,22,16,14,15,0,92,32,2,10,41,71,6,65,0,1,23,41,4,62,8,10,5,6,35,0,75,2,12,15,5,17,0,6,3,13,11,10,10,10,10,16,7,7,8,15,14,27,12,17,17,15,23,1,28,79,38,19,6,2,12,16,20,83,23,2020,0
36,,30,和歌山県,117,25.89441,25.89441,1,14,9,24,20,12,20,17,0,76,40,1,10,49,58,1,57,0,2,32,23,0,54,4,10,10,8,31,0,78,4,11,11,0,13,0,28,3,14,9,7,12,13,5,7,4,4,4,7,15,28,13,18,18,14,10,1,25,40,19,17,4,0,5,42,16,87,14,2020,0
37,,31,鳥取県,62,23.08222,23.08222,0,4,13,13,11,14,3,4,0,41,21,0,6,28,27,2,25,0,5,8,12,1,48,1,4,2,0,7,0,50,1,5,4,0,2,0,7,3,7,3,3,5,4,4,4,2,1,0,19,6,15,7,9,8,6,9,2,8,11,4,7,1,2,3,37,5,41,16,2020,0
38,,32,島根県,94,28.79981,28.79981,2,9,16,15,17,13,12,10,0,75,19,0,8,42,43,2,41,0,4,19,18,1,53,1,12,3,9,16,0,64,1,12,6,2,9,0,0,2,6,5,8,8,10,5,7,5,3,2,33,15,19,12,11,12,13,9,3,7,33,14,11,1,0,5,40,13,53,28,2020,0
39,,33,岡山県,184,20.00074,20.00074,7,25,20,42,23,26,26,15,0,135,49,0,10,66,103,8,95,0,11,35,49,5,101,4,13,15,14,37,0,124,3,19,16,1,21,0,8,12,11,22,10,8,12,17,16,9,8,5,46,22,34,19,31,27,24,22,5,21,64,34,13,3,3,8,78,35,110,39,2020,0
